,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
10904,gi_epithelial,RANBP1,1,0,1,0,0,2
10905,cd8_Tcells,RANBP1,1,0,1,1,1,4
10906,B_cells,DSC2,1,1,1,0,1,4
10907,neuroendocrine,DSC2,1,1,1,0,0,3
10908,B_cells,DSG2,1,1,1,0,1,4
10909,gi_epithelial,DSG2,1,1,1,0,0,3
10910,B_cells,DST,1,0,0,0,1,2
10911,gi_epithelial,DST,1,0,1,1,0,3
10912,B_cells,DUSP1,1,1,0,1,0,3
10913,cd8_Tcells,DUSP1,1,1,0,1,0,3
10914,B_cells,EDEM2,1,0,0,0,0,1
10915,monocytes_macs_DCs,EDEM2,1,0,1,1,0,3
10916,B_cells,EDF1,1,1,1,1,0,4
10917,gi_epithelial,EDF1,1,0,1,0,0,2
10918,gi_epithelial,RALGAPA2,0,1,1,0,0,2
10919,endothelial,RALGAPA2,0,0,0,0,0,0
10920,B_cells,EIF4G1,1,0,1,1,0,3
10921,monocytes_macs_DCs,EIF4G1,1,0,1,1,0,3
10922,B_cells,EIF5,1,0,1,1,0,3
10923,cd8_Tcells,EIF5,1,0,1,1,0,3
10924,B_cells,ELF3,1,1,1,0,1,4
10925,gi_epithelial,ELF3,1,1,1,0,0,3
10926,B_cells,ERGIC3,1,1,1,1,0,4
10927,gi_epithelial,ERGIC3,1,0,1,0,0,2
10928,B_cells,ERLEC1,0,0,1,0,0,1
10929,monocytes_macs_DCs,ERLEC1,0,0,1,1,0,2
10930,B_cells,DERL3,0,0,1,0,0,1
10931,gi_epithelial,DERL3,0,0,1,1,1,3
10932,gi_epithelial,RFC3,1,0,1,0,0,2
10933,cd8_Tcells,RFC3,1,0,0,1,0,2
10934,B_cells,DECR1,0,0,0,0,0,0
10935,gi_epithelial,DECR1,0,0,1,1,0,2
10936,B_cells,COX6C,1,1,0,1,1,4
10937,gi_epithelial,COX6C,1,0,1,0,0,2
10938,B_cells,CHMP4B,1,1,1,0,0,3
10939,gi_epithelial,CHMP4B,1,1,1,0,0,3
10940,B_cells,CHST2,1,0,1,0,0,2
10941,endothelial,CHST2,1,0,0,0,0,1
10942,B_cells,CIAO2A,1,1,1,0,0,3
10943,cd8_Tcells,CIAO2A,1,1,1,1,0,4
10944,B_cells,CIRBP,0,1,1,1,0,3
10945,gi_epithelial,CIRBP,0,1,1,1,0,3
10946,B_cells,CLIC4,1,1,1,1,0,4
10947,gi_epithelial,CLIC4,1,1,1,1,0,4
10948,B_cells,CLPTM1L,1,0,1,0,0,2
10949,gi_epithelial,CLPTM1L,1,0,1,1,0,3
10950,B_cells,CMTM7,1,0,1,1,0,3
10951,gi_epithelial,CMTM7,1,0,1,1,0,3
10952,gi_epithelial,RASSF3,1,0,1,1,0,3
10953,cd8_Tcells,RASSF3,1,0,1,1,1,4
