,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
0,B_cells,SPRR3,1,1,1,1,1,5
1,myofibroblasts,SPRR3,1,1,1,1,1,5
2,fibroblasts,SPRR3,1,1,1,1,1,5
3,naive_T_cells,SPRR3,1,1,1,1,1,5
4,gi_epithelial,SPRR3,1,1,1,1,1,5
5,NK_cells,SPRR3,1,1,1,1,1,5
6,neutrophils,SPRR3,1,1,1,1,1,5
7,cd4_Tcells,SPRR3,1,1,1,1,1,5
8,mast_cells,SPRR3,1,1,1,1,1,5
9,cd8_Tcells,SPRR3,1,1,1,1,1,5
10,endothelial,SPRR3,1,1,1,1,1,5
11,monocytes_macs_DCs,SPRR3,1,1,1,1,1,5
12,stromal,SPRR3,1,1,1,1,1,5
13,B_cells,S100A9,1,1,1,1,1,5
14,myofibroblasts,S100A9,1,1,1,1,1,5
15,fibroblasts,S100A9,1,1,1,1,1,5
16,naive_T_cells,S100A9,1,1,1,1,1,5
17,gi_epithelial,S100A9,1,1,1,1,1,5
18,neuroendocrine,S100A9,1,1,0,0,1,3
19,NK_cells,S100A9,1,1,1,1,1,5
20,cd4_Tcells,S100A9,1,1,1,1,1,5
21,mast_cells,S100A9,1,1,1,1,1,5
22,cd8_Tcells,S100A9,1,1,1,1,1,5
23,endothelial,S100A9,1,1,1,1,1,5
24,stromal,S100A9,1,1,1,1,1,5
25,B_cells,KRT13,1,1,1,1,1,5
26,myofibroblasts,KRT13,1,1,1,1,1,5
27,fibroblasts,KRT13,1,1,1,1,1,5
28,gi_epithelial,KRT13,1,1,1,1,1,5
29,NK_cells,KRT13,1,1,1,1,1,5
30,cd4_Tcells,KRT13,1,1,1,1,1,5
31,mast_cells,KRT13,1,1,1,1,1,5
32,cd8_Tcells,KRT13,1,1,1,1,1,5
33,endothelial,KRT13,1,1,1,1,1,5
34,monocytes_macs_DCs,KRT13,1,1,1,1,1,5
35,stromal,KRT13,1,1,1,1,1,5
36,B_cells,CNFN,1,1,1,1,1,5
37,myofibroblasts,CNFN,1,1,1,1,1,5
38,fibroblasts,CNFN,1,1,1,1,1,5
39,gi_epithelial,CNFN,1,1,1,1,1,5
40,neuroendocrine,CNFN,1,1,0,0,1,3
41,cd4_Tcells,CNFN,1,1,1,1,1,5
42,mast_cells,CNFN,1,1,1,1,1,5
43,cd8_Tcells,CNFN,1,1,1,1,1,5
44,endothelial,CNFN,1,1,1,1,1,5
45,monocytes_macs_DCs,CNFN,1,1,1,1,1,5
46,stromal,CNFN,1,1,1,1,1,5
47,B_cells,TFF3,1,1,1,1,1,5
48,gi_epithelial,TFF3,1,0,1,0,0,2
49,neuroendocrine,TFF3,1,1,1,1,0,4
50,NK_cells,TFF3,1,1,1,1,1,5
51,cd4_Tcells,TFF3,1,1,1,1,1,5
52,mast_cells,TFF3,1,1,1,1,1,5
53,cd8_Tcells,TFF3,1,1,1,1,1,5
54,squamous_epithelial,TFF3,1,1,1,1,1,5
55,endothelial,TFF3,1,1,0,1,1,4
56,monocytes_macs_DCs,TFF3,1,1,1,1,1,5
57,stromal,TFF3,1,1,1,1,1,5
58,B_cells,REG4,1,1,1,1,1,5
59,myofibroblasts,REG4,1,1,1,1,1,5
60,fibroblasts,REG4,1,1,1,1,1,5
61,gi_epithelial,REG4,1,0,1,0,0,2
62,neuroendocrine,REG4,1,1,1,1,0,4
63,cd4_Tcells,REG4,1,1,1,1,1,5
64,mast_cells,REG4,1,1,1,1,1,5
65,cd8_Tcells,REG4,1,1,1,1,1,5
66,endothelial,REG4,1,1,1,1,1,5
67,monocytes_macs_DCs,REG4,1,1,1,1,1,5
68,stromal,REG4,1,1,1,1,1,5
69,B_cells,SPRR2A,1,1,1,1,1,5
70,myofibroblasts,SPRR2A,1,1,1,1,1,5
71,fibroblasts,SPRR2A,1,1,1,1,1,5
72,gi_epithelial,SPRR2A,1,1,1,1,1,5
73,NK_cells,SPRR2A,1,1,1,1,1,5
74,cd4_Tcells,SPRR2A,1,1,1,1,1,5
75,mast_cells,SPRR2A,1,1,1,1,1,5
76,cd8_Tcells,SPRR2A,1,1,1,1,1,5
77,endothelial,SPRR2A,1,1,1,1,1,5
78,monocytes_macs_DCs,SPRR2A,1,1,1,1,1,5
79,stromal,SPRR2A,1,1,1,1,1,5
80,B_cells,S100A8,1,1,1,1,1,5
81,myofibroblasts,S100A8,1,1,1,1,1,5
82,fibroblasts,S100A8,1,1,1,1,1,5
83,gi_epithelial,S100A8,1,1,1,1,1,5
84,neuroendocrine,S100A8,1,1,0,0,1,3
85,NK_cells,S100A8,1,1,1,1,1,5
86,cd4_Tcells,S100A8,1,1,1,1,1,5
87,mast_cells,S100A8,1,1,1,1,1,5
88,cd8_Tcells,S100A8,1,1,1,1,1,5
89,endothelial,S100A8,1,1,1,1,1,5
90,stromal,S100A8,1,1,1,1,1,5
91,B_cells,FCGBP,1,1,1,1,1,5
92,fibroblasts,FCGBP,1,1,1,1,1,5
93,gi_epithelial,FCGBP,1,0,1,0,0,2
94,neuroendocrine,FCGBP,1,1,1,1,0,4
95,NK_cells,FCGBP,1,0,1,1,1,4
96,cd4_Tcells,FCGBP,1,1,1,1,1,5
97,mast_cells,FCGBP,1,1,1,1,1,5
98,cd8_Tcells,FCGBP,1,1,1,1,1,5
99,endothelial,FCGBP,1,1,1,1,1,5
100,stromal,FCGBP,1,1,1,1,1,5
101,B_cells,CSTA,1,1,1,1,1,5
102,myofibroblasts,CSTA,1,1,1,1,1,5
103,fibroblasts,CSTA,1,1,1,0,1,4
104,gi_epithelial,CSTA,1,1,1,1,1,5
105,cd4_Tcells,CSTA,1,1,1,1,1,5
106,mast_cells,CSTA,1,1,1,1,1,5
107,cd8_Tcells,CSTA,1,1,1,1,1,5
108,endothelial,CSTA,1,1,1,1,1,5
109,monocytes_macs_DCs,CSTA,1,1,0,1,1,4
110,stromal,CSTA,1,1,1,1,1,5
111,myofibroblasts,MAL,1,1,1,1,1,5
112,fibroblasts,MAL,1,1,1,1,1,5
113,gi_epithelial,MAL,1,0,1,0,1,3
114,neuroendocrine,MAL,1,0,0,0,1,2
115,cd4_Tcells,MAL,1,1,1,1,1,5
116,mast_cells,MAL,1,1,1,1,1,5
117,cd8_Tcells,MAL,1,1,1,1,1,5
118,endothelial,MAL,1,1,1,1,1,5
119,monocytes_macs_DCs,MAL,1,1,1,1,1,5
120,stromal,MAL,1,1,1,1,1,5
121,myofibroblasts,TFF2,1,1,0,0,1,3
122,naive_T_cells,TFF2,1,1,0,0,1,3
123,gi_epithelial,TFF2,1,0,0,0,0,1
124,NK_cells,TFF2,1,1,0,0,1,3
125,cd4_Tcells,TFF2,1,1,0,0,1,3
126,mast_cells,TFF2,1,1,0,0,1,3
127,cd8_Tcells,TFF2,1,1,0,0,1,3
128,endothelial,TFF2,1,1,0,0,1,3
129,monocytes_macs_DCs,TFF2,1,1,0,0,1,3
130,stromal,TFF2,1,1,1,0,1,4
131,B_cells,LGALS4,1,1,1,1,1,5
132,fibroblasts,LGALS4,1,1,1,1,1,5
133,naive_T_cells,LGALS4,1,1,0,1,1,4
134,gi_epithelial,LGALS4,1,0,1,0,0,2
135,neuroendocrine,LGALS4,1,1,1,1,0,4
136,mast_cells,LGALS4,1,1,1,1,1,5
137,cd8_Tcells,LGALS4,1,1,1,1,1,5
138,squamous_epithelial,LGALS4,1,1,0,1,1,4
139,endothelial,LGALS4,1,1,1,1,1,5
140,stromal,LGALS4,1,1,1,1,1,5
141,B_cells,CLDN4,1,1,1,1,1,5
142,myofibroblasts,CLDN4,1,1,1,1,1,5
143,fibroblasts,CLDN4,1,1,1,1,1,5
144,gi_epithelial,CLDN4,1,1,1,1,0,4
145,neuroendocrine,CLDN4,1,0,1,0,0,2
146,cd8_Tcells,CLDN4,1,1,1,1,1,5
147,endothelial,CLDN4,1,1,1,1,1,5
148,monocytes_macs_DCs,CLDN4,1,1,1,1,1,5
149,stromal,CLDN4,1,1,1,1,1,5
150,B_cells,CLDN3,1,1,1,1,1,5
151,myofibroblasts,CLDN3,1,1,1,1,1,5
152,fibroblasts,CLDN3,1,1,1,1,1,5
153,gi_epithelial,CLDN3,1,0,1,0,0,2
154,neuroendocrine,CLDN3,1,1,1,1,0,4
155,cd8_Tcells,CLDN3,1,1,1,1,1,5
156,endothelial,CLDN3,1,1,1,1,1,5
157,monocytes_macs_DCs,CLDN3,1,1,1,1,1,5
158,stromal,CLDN3,1,1,1,1,1,5
159,B_cells,HLA-A,1,1,1,1,0,4
160,myofibroblasts,HLA-A,1,1,1,1,0,4
161,fibroblasts,HLA-A,1,1,1,1,0,4
162,naive_T_cells,HLA-A,1,1,1,1,1,5
163,gi_epithelial,HLA-A,1,0,1,0,0,2
164,mast_cells,HLA-A,1,1,1,1,0,4
165,squamous_epithelial,HLA-A,1,1,1,1,0,4
166,endothelial,HLA-A,1,1,1,1,0,4
167,stromal,HLA-A,1,1,1,1,1,5
168,B_cells,HLA-B,1,1,1,1,0,4
169,myofibroblasts,HLA-B,1,1,1,1,0,4
170,fibroblasts,HLA-B,1,1,1,1,0,4
171,naive_T_cells,HLA-B,1,1,1,1,1,5
172,gi_epithelial,HLA-B,1,1,1,1,0,4
173,mast_cells,HLA-B,1,1,1,1,0,4
174,squamous_epithelial,HLA-B,1,1,1,1,0,4
175,endothelial,HLA-B,1,0,1,1,0,3
176,stromal,HLA-B,1,1,1,1,1,5
177,B_cells,IL32,1,1,1,1,1,5
178,myofibroblasts,IL32,1,1,1,1,0,4
179,fibroblasts,IL32,1,1,1,1,0,4
180,gi_epithelial,IL32,1,1,1,1,0,4
181,neuroendocrine,IL32,1,1,1,1,1,5
182,cd4_Tcells,IL32,1,1,1,1,0,4
183,squamous_epithelial,IL32,1,1,1,0,0,3
184,endothelial,IL32,1,1,0,1,0,3
185,stromal,IL32,1,1,0,1,0,3
186,B_cells,LY6E,1,1,1,1,1,5
187,myofibroblasts,LY6E,1,1,1,1,1,5
188,fibroblasts,LY6E,1,1,1,0,0,3
189,gi_epithelial,LY6E,1,1,1,1,0,4
190,cd4_Tcells,LY6E,1,0,1,0,1,3
191,mast_cells,LY6E,1,1,1,1,1,5
192,cd8_Tcells,LY6E,1,1,1,0,1,4
193,endothelial,LY6E,1,0,0,0,0,1
194,monocytes_macs_DCs,LY6E,1,1,1,1,1,5
195,B_cells,PHGR1,1,1,1,1,1,5
196,fibroblasts,PHGR1,1,1,1,1,1,5
197,naive_T_cells,PHGR1,1,1,1,1,1,5
198,gi_epithelial,PHGR1,1,0,1,0,0,2
199,mast_cells,PHGR1,1,1,1,1,1,5
200,cd8_Tcells,PHGR1,1,1,1,1,1,5
201,endothelial,PHGR1,1,1,1,1,1,5
202,monocytes_macs_DCs,PHGR1,1,1,1,1,1,5
203,stromal,PHGR1,1,1,1,1,1,5
204,B_cells,GHRL,1,1,1,1,1,5
205,fibroblasts,GHRL,1,1,1,1,1,5
206,gi_epithelial,GHRL,1,1,1,1,1,5
207,neuroendocrine,GHRL,1,0,1,0,0,2
208,cd4_Tcells,GHRL,1,1,1,1,1,5
209,mast_cells,GHRL,1,1,1,1,1,5
210,cd8_Tcells,GHRL,1,1,1,1,1,5
211,endothelial,GHRL,1,1,1,1,1,5
212,stromal,GHRL,1,1,1,1,1,5
213,B_cells,S100A11,1,1,1,1,1,5
214,myofibroblasts,S100A11,1,1,1,1,1,5
215,gi_epithelial,S100A11,1,1,1,1,0,4
216,neuroendocrine,S100A11,1,1,0,0,1,3
217,cd4_Tcells,S100A11,1,1,1,1,1,5
218,mast_cells,S100A11,1,1,1,1,1,5
219,cd8_Tcells,S100A11,1,1,1,1,1,5
220,endothelial,S100A11,1,1,1,1,1,5
221,stromal,S100A11,1,1,1,1,1,5
222,myofibroblasts,S100A2,1,1,1,1,1,5
223,fibroblasts,S100A2,1,1,1,1,1,5
224,gi_epithelial,S100A2,1,1,1,1,1,5
225,cd4_Tcells,S100A2,1,1,1,1,1,5
226,mast_cells,S100A2,1,1,1,1,1,5
227,cd8_Tcells,S100A2,1,1,1,1,1,5
228,endothelial,S100A2,1,1,1,1,1,5
229,monocytes_macs_DCs,S100A2,1,0,1,1,1,4
230,stromal,S100A2,1,1,1,1,1,5
231,myofibroblasts,TIMP1,1,0,1,1,0,3
232,fibroblasts,TIMP1,1,1,1,1,0,4
233,gi_epithelial,TIMP1,1,1,1,1,0,4
234,neuroendocrine,TIMP1,1,1,0,1,1,4
235,neutrophils,TIMP1,1,1,1,1,1,5
236,cd4_Tcells,TIMP1,1,1,1,1,1,5
237,squamous_epithelial,TIMP1,1,1,1,1,1,5
238,stromal,TIMP1,1,1,1,1,1,5
239,myofibroblasts,CTSS,1,1,1,1,1,5
240,fibroblasts,CTSS,1,0,1,1,1,4
241,gi_epithelial,CTSS,1,1,1,1,0,4
242,neuroendocrine,CTSS,1,1,1,1,1,5
243,mast_cells,CTSS,1,1,1,1,1,5
244,squamous_epithelial,CTSS,1,1,1,1,1,5
245,endothelial,CTSS,1,1,1,1,1,5
246,stromal,CTSS,1,0,1,1,1,4
247,myofibroblasts,PMEPA1,1,1,1,0,0,3
248,fibroblasts,PMEPA1,1,1,1,0,0,3
249,gi_epithelial,PMEPA1,1,1,1,1,0,4
250,neuroendocrine,PMEPA1,1,1,1,0,0,3
251,mast_cells,PMEPA1,1,1,1,0,0,3
252,squamous_epithelial,PMEPA1,1,1,1,1,0,4
253,endothelial,PMEPA1,1,1,1,0,0,3
254,stromal,PMEPA1,1,1,1,0,1,4
255,B_cells,KRT8,1,1,1,1,1,5
256,myofibroblasts,KRT8,1,1,1,1,1,5
257,fibroblasts,KRT8,1,1,1,1,1,5
258,gi_epithelial,KRT8,1,0,1,0,0,2
259,cd8_Tcells,KRT8,1,1,1,1,1,5
260,squamous_epithelial,KRT8,1,1,1,1,0,4
261,endothelial,KRT8,1,1,1,1,1,5
262,stromal,KRT8,1,1,1,1,1,5
263,B_cells,KRT7,1,1,1,0,1,4
264,myofibroblasts,KRT7,1,1,1,1,1,5
265,fibroblasts,KRT7,1,1,1,0,1,4
266,gi_epithelial,KRT7,1,1,1,1,0,4
267,neuroendocrine,KRT7,1,1,1,0,0,3
268,cd8_Tcells,KRT7,1,1,1,1,1,5
269,endothelial,KRT7,1,1,1,1,1,5
270,stromal,KRT7,1,1,1,1,1,5
271,B_cells,ISG15,1,1,1,0,1,4
272,myofibroblasts,ISG15,1,1,1,0,0,3
273,fibroblasts,ISG15,1,1,1,1,0,4
274,gi_epithelial,ISG15,1,1,1,0,0,3
275,mast_cells,ISG15,1,1,1,1,1,5
276,cd8_Tcells,ISG15,1,1,1,0,0,3
277,endothelial,ISG15,1,1,1,0,0,3
278,stromal,ISG15,1,1,1,0,1,4
279,B_cells,SPTBN1,1,1,1,0,1,4
280,myofibroblasts,SPTBN1,1,1,1,1,0,4
281,gi_epithelial,SPTBN1,1,0,1,0,0,2
282,neuroendocrine,SPTBN1,1,0,1,0,0,2
283,cd4_Tcells,SPTBN1,1,1,1,0,1,4
284,mast_cells,SPTBN1,1,1,1,1,1,5
285,cd8_Tcells,SPTBN1,1,1,1,0,1,4
286,squamous_epithelial,SPTBN1,1,1,1,0,0,3
287,myofibroblasts,COTL1,1,1,1,1,1,5
288,fibroblasts,COTL1,1,1,1,1,1,5
289,gi_epithelial,COTL1,1,0,1,1,0,3
290,neuroendocrine,COTL1,1,0,1,1,0,3
291,cd8_Tcells,COTL1,1,1,1,1,0,4
292,squamous_epithelial,COTL1,1,1,1,0,1,4
293,endothelial,COTL1,1,1,1,1,0,4
294,stromal,COTL1,1,1,1,1,1,5
295,B_cells,IFITM3,1,1,1,1,1,5
296,myofibroblasts,IFITM3,1,1,1,1,0,4
297,fibroblasts,IFITM3,1,1,1,1,0,4
298,gi_epithelial,IFITM3,1,1,1,1,0,4
299,neuroendocrine,IFITM3,1,1,1,1,1,5
300,NK_cells,IFITM3,1,1,1,0,1,4
301,mast_cells,IFITM3,1,1,1,1,1,5
302,cd8_Tcells,IFITM3,1,1,1,1,1,5
303,B_cells,IFI6,1,1,1,1,0,4
304,fibroblasts,IFI6,1,1,1,1,0,4
305,gi_epithelial,IFI6,1,0,1,0,0,2
306,cd4_Tcells,IFI6,1,1,1,1,1,5
307,mast_cells,IFI6,1,1,1,1,1,5
308,cd8_Tcells,IFI6,1,1,1,1,1,5
309,squamous_epithelial,IFI6,1,0,1,1,0,3
310,monocytes_macs_DCs,IFI6,1,1,1,1,0,4
311,B_cells,HLA-DMA,1,0,1,1,0,3
312,gi_epithelial,HLA-DMA,1,1,1,1,0,4
313,neuroendocrine,HLA-DMA,1,0,0,0,1,2
314,cd8_Tcells,HLA-DMA,1,1,0,1,1,4
315,squamous_epithelial,HLA-DMA,1,1,1,0,1,4
316,endothelial,HLA-DMA,1,1,0,1,0,3
317,monocytes_macs_DCs,HLA-DMA,1,0,1,0,0,2
318,stromal,HLA-DMA,1,1,0,0,1,3
319,B_cells,P4HB,1,1,1,1,0,4
320,myofibroblasts,P4HB,1,1,1,1,0,4
321,fibroblasts,P4HB,1,1,0,1,0,3
322,gi_epithelial,P4HB,1,0,1,0,0,2
323,cd8_Tcells,P4HB,1,0,1,1,1,4
324,endothelial,P4HB,1,1,1,1,0,4
325,monocytes_macs_DCs,P4HB,1,1,1,1,0,4
326,stromal,P4HB,1,1,1,1,1,5
327,B_cells,HLA-C,1,1,1,1,0,4
328,myofibroblasts,HLA-C,1,1,1,1,0,4
329,fibroblasts,HLA-C,1,1,1,1,0,4
330,gi_epithelial,HLA-C,1,0,1,0,0,2
331,mast_cells,HLA-C,1,1,1,1,0,4
332,squamous_epithelial,HLA-C,1,1,1,1,0,4
333,endothelial,HLA-C,1,1,1,1,0,4
334,stromal,HLA-C,1,1,1,1,1,5
335,B_cells,CD74,1,1,1,1,0,4
336,naive_T_cells,CD74,1,1,1,1,1,5
337,gi_epithelial,CD74,1,0,1,1,0,3
338,cd4_Tcells,CD74,1,1,1,1,1,5
339,mast_cells,CD74,1,1,1,1,1,5
340,cd8_Tcells,CD74,1,1,1,1,1,5
341,endothelial,CD74,1,1,0,0,0,2
342,stromal,CD74,1,1,0,0,1,3
343,fibroblasts,CSTB,1,1,1,1,1,5
344,naive_T_cells,CSTB,1,1,1,1,1,5
345,gi_epithelial,CSTB,1,1,1,1,1,5
346,mast_cells,CSTB,1,1,1,1,1,5
347,cd8_Tcells,CSTB,1,1,1,1,1,5
348,endothelial,CSTB,1,1,1,1,1,5
349,monocytes_macs_DCs,CSTB,1,1,0,0,1,3
350,stromal,CSTB,1,1,1,1,1,5
351,B_cells,GAPDH,1,1,1,1,0,4
352,myofibroblasts,GAPDH,1,0,1,1,0,3
353,fibroblasts,GAPDH,1,1,1,1,0,4
354,gi_epithelial,GAPDH,1,0,1,0,0,2
355,NK_cells,GAPDH,1,0,0,1,0,2
356,cd8_Tcells,GAPDH,1,1,1,1,0,4
357,endothelial,GAPDH,1,1,1,1,0,4
358,stromal,GAPDH,1,1,1,1,1,5
359,B_cells,ENC1,1,1,1,1,1,5
360,myofibroblasts,ENC1,1,0,0,0,0,1
361,fibroblasts,ENC1,1,1,1,1,0,4
362,gi_epithelial,ENC1,1,0,1,0,0,2
363,neuroendocrine,ENC1,1,1,1,1,0,4
364,cd8_Tcells,ENC1,1,1,0,0,1,3
365,endothelial,ENC1,1,0,0,1,1,3
366,stromal,ENC1,1,1,0,1,1,4
367,myofibroblasts,LGALS9,1,1,0,1,1,4
368,fibroblasts,LGALS9,1,1,1,1,0,4
369,gi_epithelial,LGALS9,1,0,1,1,0,3
370,neuroendocrine,LGALS9,1,0,1,1,0,3
371,cd8_Tcells,LGALS9,1,1,1,1,1,5
372,endothelial,LGALS9,1,1,1,1,0,4
373,monocytes_macs_DCs,LGALS9,1,0,1,0,0,2
374,stromal,LGALS9,1,1,0,1,1,4
375,B_cells,RPS3A,0,1,0,0,0,1
376,myofibroblasts,RPS3A,0,1,1,1,0,3
377,fibroblasts,RPS3A,0,1,1,1,0,3
378,gi_epithelial,RPS3A,0,1,1,1,0,3
379,cd8_Tcells,RPS3A,0,1,1,1,0,3
380,endothelial,RPS3A,0,1,1,1,0,3
381,monocytes_macs_DCs,RPS3A,0,1,1,1,0,3
382,stromal,RPS3A,0,1,1,1,1,4
383,myofibroblasts,SPINK1,1,1,1,1,1,5
384,fibroblasts,SPINK1,1,1,1,1,1,5
385,naive_T_cells,SPINK1,1,1,1,1,1,5
386,gi_epithelial,SPINK1,1,0,1,0,0,2
387,NK_cells,SPINK1,1,1,1,1,1,5
388,neutrophils,SPINK1,1,1,1,1,1,5
389,endothelial,SPINK1,1,1,1,1,1,5
390,stromal,SPINK1,1,1,1,1,1,5
391,myofibroblasts,MARCKSL1,1,1,1,1,0,4
392,fibroblasts,MARCKSL1,1,1,1,1,1,5
393,gi_epithelial,MARCKSL1,1,0,1,0,0,2
394,NK_cells,MARCKSL1,1,0,0,0,1,2
395,cd8_Tcells,MARCKSL1,1,0,0,0,1,2
396,squamous_epithelial,MARCKSL1,1,1,0,0,0,2
397,endothelial,MARCKSL1,1,1,1,1,0,4
398,stromal,MARCKSL1,1,1,1,1,1,5
399,B_cells,PGA3,1,1,1,1,0,4
400,fibroblasts,PGA3,1,1,1,1,1,5
401,gi_epithelial,PGA3,1,1,1,1,0,4
402,cd4_Tcells,PGA3,1,1,0,1,1,4
403,mast_cells,PGA3,1,1,1,1,1,5
404,cd8_Tcells,PGA3,1,1,1,1,1,5
405,endothelial,PGA3,1,1,1,1,1,5
406,stromal,PGA3,1,1,1,1,1,5
407,B_cells,PGC,1,1,1,1,0,4
408,myofibroblasts,PGC,1,1,1,1,1,5
409,fibroblasts,PGC,1,1,1,1,1,5
410,naive_T_cells,PGC,1,1,1,1,1,5
411,gi_epithelial,PGC,1,0,1,0,0,2
412,NK_cells,PGC,1,1,1,1,1,5
413,cd4_Tcells,PGC,1,1,1,1,1,5
414,cd8_Tcells,PGC,1,1,1,1,1,5
415,myofibroblasts,PSMB9,1,1,1,1,0,4
416,fibroblasts,PSMB9,1,1,1,1,0,4
417,gi_epithelial,PSMB9,1,0,1,0,0,2
418,neuroendocrine,PSMB9,1,0,1,1,0,3
419,mast_cells,PSMB9,1,1,1,1,0,4
420,cd8_Tcells,PSMB9,1,1,1,1,0,4
421,endothelial,PSMB9,1,1,0,0,0,2
422,stromal,PSMB9,1,1,1,1,1,5
423,B_cells,HLA-DPA1,1,1,1,0,1,4
424,gi_epithelial,HLA-DPA1,1,1,1,0,1,4
425,neuroendocrine,HLA-DPA1,1,1,1,0,1,4
426,mast_cells,HLA-DPA1,1,1,0,1,1,4
427,cd8_Tcells,HLA-DPA1,1,1,1,1,1,5
428,endothelial,HLA-DPA1,1,1,0,1,1,4
429,stromal,HLA-DPA1,1,1,0,0,1,3
430,B_cells,PHLDA2,1,1,1,1,1,5
431,fibroblasts,PHLDA2,1,1,1,1,1,5
432,gi_epithelial,PHLDA2,1,0,1,0,0,2
433,mast_cells,PHLDA2,1,1,1,1,1,5
434,cd8_Tcells,PHLDA2,1,1,1,1,1,5
435,endothelial,PHLDA2,1,1,1,1,1,5
436,stromal,PHLDA2,1,1,1,1,1,5
437,B_cells,LGALS3,1,1,1,1,1,5
438,fibroblasts,LGALS3,1,1,0,1,0,3
439,gi_epithelial,LGALS3,1,1,1,1,0,4
440,neuroendocrine,LGALS3,1,1,1,1,1,5
441,endothelial,LGALS3,1,1,1,1,1,5
442,monocytes_macs_DCs,LGALS3,1,0,1,1,0,3
443,stromal,LGALS3,1,1,0,0,1,3
444,B_cells,CLDN7,1,1,1,1,1,5
445,myofibroblasts,CLDN7,1,0,0,0,1,2
446,gi_epithelial,CLDN7,1,1,1,1,0,4
447,cd8_Tcells,CLDN7,1,1,1,0,1,4
448,endothelial,CLDN7,1,1,1,0,1,4
449,monocytes_macs_DCs,CLDN7,1,1,1,0,1,4
450,stromal,CLDN7,1,1,1,0,1,4
451,B_cells,PDIA4,1,1,1,1,0,4
452,myofibroblasts,PDIA4,1,1,1,1,1,5
453,fibroblasts,PDIA4,1,1,1,1,0,4
454,gi_epithelial,PDIA4,1,0,1,0,0,2
455,endothelial,PDIA4,1,1,1,1,0,4
456,monocytes_macs_DCs,PDIA4,1,0,1,1,0,3
457,stromal,PDIA4,1,1,1,1,1,5
458,myofibroblasts,EPSTI1,1,1,1,1,0,4
459,fibroblasts,EPSTI1,1,1,1,1,0,4
460,gi_epithelial,EPSTI1,1,0,1,1,0,3
461,cd4_Tcells,EPSTI1,1,1,1,1,0,4
462,mast_cells,EPSTI1,1,1,1,1,1,5
463,cd8_Tcells,EPSTI1,1,1,1,1,0,4
464,stromal,EPSTI1,1,1,1,1,1,5
465,B_cells,KDELR2,1,1,1,1,0,4
466,myofibroblasts,KDELR2,1,0,1,1,0,3
467,fibroblasts,KDELR2,1,1,1,1,0,4
468,gi_epithelial,KDELR2,1,0,1,0,0,2
469,endothelial,KDELR2,1,1,1,1,0,4
470,monocytes_macs_DCs,KDELR2,1,1,1,1,0,4
471,stromal,KDELR2,1,1,1,1,1,5
472,B_cells,ENO1,1,1,1,1,1,5
473,myofibroblasts,ENO1,1,0,1,1,1,4
474,gi_epithelial,ENO1,1,0,1,0,0,2
475,cd4_Tcells,ENO1,1,1,1,1,1,5
476,cd8_Tcells,ENO1,1,1,1,1,1,5
477,endothelial,ENO1,1,1,1,1,0,4
478,stromal,ENO1,1,1,1,1,1,5
479,B_cells,CALR,1,1,0,0,0,2
480,myofibroblasts,CALR,1,1,1,1,0,4
481,fibroblasts,CALR,1,1,1,1,0,4
482,gi_epithelial,CALR,1,0,1,0,0,2
483,mast_cells,CALR,1,0,0,1,0,2
484,endothelial,CALR,1,1,0,1,0,3
485,stromal,CALR,1,1,0,1,1,4
486,myofibroblasts,PTPRE,1,0,1,0,0,2
487,fibroblasts,PTPRE,1,1,0,0,0,2
488,gi_epithelial,PTPRE,1,0,1,1,1,4
489,cd8_Tcells,PTPRE,1,1,0,1,1,4
490,endothelial,PTPRE,1,1,1,0,0,3
491,monocytes_macs_DCs,PTPRE,1,0,1,0,0,2
492,stromal,PTPRE,1,1,0,0,1,3
493,B_cells,FTL,1,1,1,1,0,4
494,myofibroblasts,FTL,1,1,1,1,1,5
495,fibroblasts,FTL,1,1,1,1,0,4
496,gi_epithelial,FTL,1,1,1,1,0,4
497,neuroendocrine,FTL,1,1,1,1,0,4
498,monocytes_macs_DCs,FTL,1,0,1,0,0,2
499,stromal,FTL,1,1,0,1,1,4
500,B_cells,FURIN,1,1,1,1,0,4
501,myofibroblasts,FURIN,1,1,1,1,0,4
502,gi_epithelial,FURIN,1,1,1,1,0,4
503,cd4_Tcells,FURIN,1,0,1,0,0,2
504,cd8_Tcells,FURIN,1,1,1,1,0,4
505,endothelial,FURIN,1,1,1,1,0,4
506,stromal,FURIN,1,1,1,1,0,4
507,B_cells,LIPF,1,1,1,1,0,4
508,myofibroblasts,LIPF,1,1,1,1,1,5
509,fibroblasts,LIPF,1,1,1,1,1,5
510,naive_T_cells,LIPF,1,1,1,1,1,5
511,gi_epithelial,LIPF,1,0,1,0,0,2
512,neuroendocrine,LIPF,1,0,1,1,1,4
513,stromal,LIPF,1,1,1,1,1,5
514,myofibroblasts,CRCT1,1,1,1,1,1,5
515,fibroblasts,CRCT1,1,1,1,1,1,5
516,gi_epithelial,CRCT1,1,1,1,1,1,5
517,cd8_Tcells,CRCT1,1,1,1,1,1,5
518,endothelial,CRCT1,1,1,1,1,1,5
519,monocytes_macs_DCs,CRCT1,1,1,1,1,1,5
520,stromal,CRCT1,1,1,1,1,1,5
521,B_cells,HSPA5,1,1,1,1,0,4
522,myofibroblasts,HSPA5,1,1,1,1,0,4
523,fibroblasts,HSPA5,1,1,1,1,0,4
